bracelet __ N __ kiskinawâcihôkispison __ CLOTHING, OBJECT
piglet __ N __ kohkôsis __ ANIMAL, OBJECT
net __ N __ ayapiy __ TOOL, OBJECT
rabbit __ N __ wâpos __ ANIMAL, OBJECT
salt __ N __ sîwîhtâkan __ FOOD_MASS, OBJECT
restaurant __ N __ mîcisowikamik __ PLACE
cement __ N __ asinîwipayihcikan __ THING_MASS
my parent __ N __ ninêkihikwak __ KIN
foot __ N __ nisit __ BODY
wart __ N __ micîhcîkom __ BODY_CONDITION, OBJECT
breast __ N __ mitohtôsim __ BODY
ghost __ N __ cîpay __ THING
mitt __ N __ astis __ CLOTHING, OBJECT
nut __ N __ pakân __ FOOD, OBJECT
caribou __ N __ atihk __ ANIMAL
cow __ N __ mostos __ ANIMAL, OBJECT
snow __ N __ kôna __ WEATHER_MASS
arrow __ N __ atos __ TOOL, OBJECT
box __ N __ mistikowat __ CONTAINER, OBJECT
body __ N __ miyaw __ BODY
barley __ N __ iskwêsisihkân __ PLANT_MASS
money __ N __ sôniyâw __ MONEY_MASS
penny __ N __ pîwâpiskos __ MONEY, OBJECT
pony __ N __ miscacimosis __ ANIMAL, OBJECT
boy __ N __ nâpêsis __ PERSON
puppy __ N __ acimosis __ ANIMAL, OBJECT
gooseberry __ N __ sâpômin __ FOOD, OBJECT
little __ A __ xxx __ XXX
blow __ V __ pôtâtam TI, pôtâtêw TA __ IMPACT
break __ V __ pîkonam TI, pîkonêw TA __ IMPACT
bring __ V __ pêtâw TI, pêsiwêw TA, pêtawêw TA __ MOVE_SOMETHING
carry __ V __ tahkonam TI, tahkonêw TA __ MOVE_SOMETHING
cry __ V __ mâtow AI __ ACTIVITY
drive __ V __ otâpâsow AI __ MOVE
eat __ V __ mîcisow AI, mîciw TI, mowêw TA __ TASTE
feel __ V __ itamahcihow AI __ EMOTION
get __ V __ nâtam TI, nâtêw TA __ POSSESS
red __ A __ mihkosiw AI, mihkwâw II __ COLOUR
black __ A __ kaskitêsiw AI, kaskitêwâw II __ COLOUR
white __ A __ wâpiskisiw AI, wâpiskâw II __ COLOUR
green __ A __ askihtakosiw AI, askihtakwan II __ COLOUR
blue __ A __ sîpihkosiw AI, sîpihkwâw II __ COLOUR
yellow __ A __ wâposâwisiw AI, wâposâwâw II __ COLOUR
good __ A __ miywâsin II __ STATE
beautiful __ A __ katawasisiw AI, katawasisin II __ APPEARANCE
big __ A __ misikitiw AI, misâw II __ STATE
small __ A __ apisîsisiw AI, apisâsin II__ STATE
strong __ A __ maskawisîw AI, maskawisîmakan II __ STATE
delicious __ A __ wîhkitisiw AI, wîhkasin II __ TASTE
orange __ A __ osâwisiw AI, osâwâw II __ COLOUR
brown __ A __ wîpôsâwisiw AI, wîposâwâw II __ COLOUR
pink __ A __ wâpikwanîwinâkosiw AI, wâpikwanîwinâkwan II __ COLOUR
purple __ A __ wîpisîpihkosiw AI, wîpisîpihkwâw II __ COLOUR
wine red __ A __ watôkimihkosiw AI, watôkimihkwâw II __ COLOUR
grey __ A __ pihkonâkosiw AI, pihkonâkwan II __ COLOUR
high __ A __ ispâw II __ STATE
tall __ A __ kinosiw AI, kinwâw II __ STATE
short __ A __ cimisisiw AI, cimâsin II __ STATE
dirt __ A __ wiyipâtisiw AI, wiyipâtan II __ STATE
ugly __ A __ mâyâtisiw AI, mâyâtan II __ APPEARANCE
broken __ A __ mâyâtan II __ STATE
clean __ A __ kanâtisiw AI, kanâtan II __ STATE