pêtawêw __ V __ TA __ AN brings it to/for AN, s/he brings it to/for AN, he brings it to/for AN, she brings it to/for AN __ French __ MOVE __ I1
wîkiw __ V __ AI __ AN lives at, s/he lives at, he lives at, she lives at __ French __ DAILY_LIFE __ I4
atoskêw __ V __ AI __ AN works, s/he works, he works, she works __ French __ OCCUPATION __ I4
itohtêw __ V __ AI __ AN goes, s/he goes, he goes, she goes __ French __ MOVE __ I4
isiyihkâsow __ V __ AI __ AN is named, s/he is named, he is named, she is named, AN is called, s/he is called, he is called, she is called __ French __ NAME __ I4
isiyihkâcikâtêw (isîyihkâtew?) __ V __ II __ IN is named, it is named __ French __ NAME __ I4
isîyihkâta __ V __ TI __ AN names IN, s/he names IN, he names IN, she names IN __ French __ NAME __ I4
isîyihkâs __ V __ TA __ AN names AN, s/he names AN, he names AN, she names AN __ French __ NAME __ I4
wâpamêw __ V __ TA __ AN sees AN, s/he sees AN, he sees AN, she sees AN __ French __ SENSE __ I4
wâpahtam __ V __ TI __ AN sees IN, s/he sees IN, he sees IN, she sees IN __ French __ SENSE __ I4
nitawêyimêw __ V __ TA __ AN wants AN, s/he wants AN, he wants AN, she wants AN __ French __ WANT __ I4
nitawêyihtam __ V __ TI __ AN wants IN, s/he wants IN, he wants IN, she wants IN __ French __ WANT __ I4
nisitawêyimêw __ V __ TA __ AN knows IN, s/he knows AN, he knows AN, she knows AN __ French __ THINK __ I4
pîkiskwâtêw __ V __ TA __ AN talks to AN, s/he talks to AN, he talks to AN, she talks to AN __ French __ COMMUNICATION __ I4
itwêw __ V __ TI __ AN says IN, s/he says it, he says it, she says it, s/he says IN, he says IN, she says IN __ French __ COMMUNICATION __ I4
kiskinwahamâkosiw __ V __ AI __ AN learns, s/he learns, he learns, she learns __ French __ THINK __ I5
nisitohtam __ V __ TI __ AN understands IN, s/he understands it, he understands it, she understands it, s/he understands IN, he understands IN, she understands IN __ French __ THINK __ I5
nêhiyawêw __ V __ AI __ AN speaks Cree, s/he speaks Cree, he speaks Cree, she speaks Cree __ French __ COMMUNICATION __ I5
itamahcihow __ V __ AI __ AN feels such, s/he feels such, he feels such, she feels such __ French __ EMOTION __ I5
miyomahcihow __ V __ AI __ AN feels good, s/he feels good, he feels good, she feels good __ French __ EMOTION __ I5
nêstosiw __ V __ AI __ AN is tired, s/he is tired, he is tired, she is tired __ French __ BODY_CONDITION __ I5
nôhtêhkatêw __ V __ AI __ AN is hungry, s/he is hungry, he is hungry, she is hungry __ French __ BODY_CONDITION __ I5
nôhtêhkwasiw __ V __ AI __ AN is sleepy, s/he is sleepy, he is sleepy, she is sleepy __ French __ BODY_CONDITION __ I5
nitohtam __ V __ TI __ AN listens to IN, s/he listens to it, he listens to it, she listens to it, s/he listens to IN, he listens to IN, she listens to IN __ French __ SENSE __ I5
mihkosiw __ V __ AI __ AN is red, s/he is red, he is red, she is red __ French __ COLOUR __ I6
mihkwâw __ V __ II __ IN is red, it is red __ French __ COLOUR __ I6
kaskitêsiw __ V __ AI __ AN is black, s/he is black, he is black, she is black __ French __ COLOUR __ I6
kaskitêwâw __ V __ II __ IN is black, it is black __ French __ COLOUR __ I6
wâpiskisiw __ V __ AI __ AN is white, s/he is white, he is white, she is white __ French __ COLOUR __ I6
wâpiskâw __ V __ II __ IN is white, it is white __ French __ COLOUR __ I6
askihtakosiw __ V __ AI __ AN is green, s/he is green, he is green, she is green __ French __ COLOUR __ I6
askihtakwan __ V __ II __ IN is green, it is green __ French __ COLOUR __ I6
sîpihkosiw __ V __ AI __ AN is blue, s/he is blue, he is blue, she is blue __ French __ COLOUR __ I6
sîpihkwâw __ V __ II __ IN is blue, it is blue __ French __ COLOUR __ I6
wâposâwisiw __ V __ AI __ AN is yellow, s/he is yellow, he is yellow, she is yellow __ French __ COLOUR __ I6
wâposâwâw __ V __ II __ IN is yellow, it is yellow __ French __ COLOUR __ I6
miyosiw __ V __ AI __ AN is nice, s/he is nice, he is nice, she is nice __ French __ QUALITY __ I6
miywâsin __ V __ II __ IN is red, it is red __ French __ COLOUR __ I6
katawasisiw __ V __ AI __ AN is beautiful, s/he is beautiful, he is beautiful, she is beautiful __ French __ APPEARANCE __ I6
katawasisin __ V __ II __ IN is beautiful, it is beautiful __ French __ APPEARANCE __ I6
misikitiw __ V __ AI __ AN is big, s/he is big, he is big, she is big, AN is large, s/he is large, he is large, she is large __ French __ STATE __ I6
misâw __ V __ II __ IN is big, it is big, IN is large, it is large __ French __ STATE __ I6
kakwêyâhow __ V __ AI __ AN is fast, s/he is fast, he is fast, she is fast __ French __ TIME __ I6
kakweyâhômakan __ V __ II __ IN is fast, it is fast __ French __ TIME __ I6
apisîsisiw __ V __ AI __ AN is small, s/he is small, he is small, she is small __ French __ STATE __ I6
apisâsin __ V __ II __ IN is small, it is small __ French __ STATE __ I6
maskawisîw __ V __ AI __ AN is strong, s/he is strong, he is strong, she is strong __ French __ BODY_CONDITION __ I6
maskawisîmakan __ V __ II __ IN is strong, it is strong __ French __ BODY_CONDITION __ I6
wîhkitisiw __ V __ AI __ AN is delicious, s/he is delicious, he is delicious, she is delicious __ French __ SENSE __ I6
wîhkasin __ V __ II __ IN is delicious, it is delicious, IN tastes good, it tastes good __ French __ SENSE __ I6
wîhkistêw __ V __ TA __ AN likes the taste of AN, s/he likes the taste of AN, he likes the taste of AN, she likes the taste of AN __ French __ SENSE __ I6
wîhkistam __ V __ TI __ AN likes the taste of IN, s/he likes the taste of it, he likes the taste of it, she likes the taste of it, s/he likes the taste of IN, he likes the taste of IN, she likes the taste of IN __ French __ SENSE __ I6
osâwisiw __ V __ AI __ AN is orange, s/he is orange, he is orange, she is orange, s/he is light brown, he is light brown, she is light brown __ French __ COLOUR __ I6
osâwâw __ V __ II __ IN is orange, it is orange, IN is light brown, it is light brown __ French __ COLOUR __ I6
wîpôsâwisiw __ V __ AI __ AN is brown, s/he is brown, he is brown, she is brown __ French __ COLOUR __ I6
wîposâwâw __ V __ II __ IN is brown, it is brown __ French __ COLOUR __ I6
wâpikwanîwinâkosiw __ V __ AI __ AN is pink, s/he is pink, he is pink, she is pink __ French __ COLOUR __ I6
wâpikwanîwinâkwan __ V __ II __ IN is pink, it is pink __ French __ COLOUR __ I6
wîpisîpihkosiw __ V __ AI __ AN is purple, s/he is purple, he is purple, she is purple __ French __ COLOUR __ I6
wîpisîpihkwâw __ V __ II __ IN is purple, it is purple __ French __ COLOUR __ I6
watôkimihkosiw __ V __ AI __ AN is wine red, s/he is wine red, he is wine red, she is wine red, AN is wine colour, s/he is wine colour, he is wine colour, she is wine colour __ French __  COLOUR __ I6
watôkimihkwâw __ V __ II __ IN is wine red, it is wine red, IN is wine colour, it is wine colour __ French __  COLOUR __ I6
pihkonâkosiw __ V __ AI __ AN is grey, s/he is grey, he is grey, she is grey __ French __ COLOUR __ I6
pihkonâkwan __ V __ II __ IN is grey, it is grey __ French __ COLOUR __ I6
kinosiw __ V __ AI __ AN is tall, s/he is tall, he is tall, she is tall __ French __ STATE __ I6
kinwâw __ V __ II __ IN is tall, it is tall, IN is long, it is long __ French __ STATE __ I6
ispâw __ V __ II __ IN is high, it is high __ French __ STATE __ I6
cimisisiw __ V __ AI __ AN is short, s/he is short, he is short, she is short __ French __ STATE __ I6
cimâsin __ V __ II __ IN is short, it is short __ French __ STATE __ I6
mâyâtisiw __ V __ AI __ AN is ugly, s/he is ugly, he is ugly, she is ugly __ French __ APPEARANCE __ I6
mâyâtan __ V __ II __ IN is ugly, it is ugly __ French __ APPEARANCE __ I6
yîkicikâwîw __ V __ AI __ AN is slow, s/he is slow, he is slow, she is slow __ French __ TIME __ I6
yikicikâwîmakan __ V __ II __ IN is slow, it is slow __ French __ TIME __ I6
wiyipâtisiw __ V __ AI __ AN is dirty, s/he is dirty, he is dirty, she is dirty __ French __ STATE __ I6
wiyipâtan __ V __ II __ IN is dirty, it is dirty __ French __ STATE __ I6
pîkopayiw __ V __ AI __ AN is broken, s/he is broken, he is broken, she is broken __ French __ STATE __ I6
pîkopayin __ V __ II __ IN is broken, it is broken, IN is torn, it is torn, IN brakes down, it brakes down, __ French __ STATE __ I6
kanâtisiw __ V __ AI __ AN is clean, s/he is clean, he is clean, she is clean __ French __ STATE __ I6
kanâtan __ V __ II __ IN is clean, it is clean __ French __ STATE __ I6
pôsiw __ V __ AI __ AN rides, s/he rides, he rides, she rides __ French __ MOVE __ I7
pôsihêw __ V __ TA __ AN gives a ride to AN, s/he gives a ride to AN, he gives a ride to AN, she gives a ride to AN __ French __ MOVE __ I7
têhtapiw __ V __ TI __ AN sits on something, s/he sits on something, he sits on something, she sits on something, AN rides a horse, s/he rides a horse, he rides a horse, she rides a horse __ French __ MOVE __ I7
itâpiw __ V __ AI __ AN looks, s/he looks, he looks, she looks __ French __ SENSE __ I7
kitâpahtam __ V __ TI __ AN looks at IN, s/he looks at IN, he looks at IN, she looks at IN __ French __ SENSE __ I7
kitâpamêw __ V __ TA __ AN looks at AN, s/he looks at AN, he looks at AN, she looks at AN __ French __ SENSE __ I7
pâhpisiw __ V __ AI __ AN smiles, s/he smiles, he smiles, she smiles __ French __ COMMUNICATION __ I7
waskawîw __ V __ AI __ AN moves, s/he moves, he moves, she moves __ French __ MOVE __ I7
mowêw __ V __ TA __ AN eats AN, s/he eats AN, he eats AN, she eats AN __ French __ FOOD __ I7
mîciw __ V __ TI __ AN eats IN, s/he eats IN, he eats IN, she eats IN __ French __ FOOD __ I7
pakamaham __ V __ TI __ AN hits IN, s/he hits IN, he hits IN, she hits IN __ French __ PHYSICAL_IMPACT __ I7
pakamahwêw __ V __ TA __ AN hits AN, s/he hits AN, he hits AN, she hits AN __ French __ PHYSICAL_IMPACT __ I7
piminawasow __ V __ AI __ AN cooks, s/he cooks, he cooks, she cooks __ French __ FOOD __ I7
nawacîw __ V __ TI __ AN bakes something, s/he bakes something, he bakes something, she bakes something __ French __ FOOD __ I7
nawacîw __ V __ TA __ AN bakes something, s/he bakes something, he bakes something, she bakes something __ French __ FOOD __ I7
kîsisam __ V __ TI __ AN cooks IN, s/he cooks IN, he cooks IN, she cooks IN __ French __ FOOD __ I7
kîsiswêw __ V __ TA __ AN cooks AN, s/he cooks AN, he cooks AN, she cooks AN __ French __ FOOD __ I7
waniskâw __ V __ AI __ AN gets up from bed, s/he gets up from bed, he gets up from bed, she gets up from bed __ French __ SLEEP __ I7
pasikôw __ V __ AI __ AN gets up, s/he gets up, he gets up, she gets up __ French __ SLEEP __ I7
wayawîw __ V __ AI __ AN goes outside, s/he goes outside, he goes outside, she goes outside __ French __ MOVE __ I7
sipwêhtêw __ V __ AI __ AN leaves, s/he leaves, he leaves, she leaves __ French __ MOVE __ I7
apiw __ V __ AI __ AN sits down, s/he sits down, he sits down, she sits down, s/he is at home, he is at home, she is at home __ French __ HOME __ I7
ayâw __ V __ TI __ AN has IN, s/he has IN, he has IN, she has IN __ French __ FINANCE __ I7
ayâwêw __ V __ TA __ AN has AN, s/he has AN, he has AN, she has AN __ French __ FINANCE __ I7
sâminam __ V __ TI __ AN touches IN, s/he touches IN, he touches IN, she touches IN __ French __ SENSE __ I7
sâminêw __ V __ TA __ AN touches AN, s/he touches AN, he touches AN, she touches AN __ French __ SENSE __ I7
pôtâtam __ V __ TI __ AN blows on IN, s/he blows on IN, he blows on IN, she blows on IN __ French __ AIR __ I7
pôtâtêw (pôtâs?) __ V __ TA __ AN blows on AN, s/he blows on AN, he blows on AN, she blows on AN __ French __ AIR __ I7
miywêyihtam __ V __ AI __ AN likes IN, s/he likes IN, he likes IN, she likes IN __ French __ EMOTION __ I7
pêhtawêw __ V __ TA __ AN hears AN, s/he hears AN, he hears AN, she hears AN __ French __ SENSE __ I7
nisitohtawêw __ V __ TA __ AN understands AN, s/he understands AN, he understands AN, she understands AN __ French __ THINK __ I7
nisitawêyimêw __ V __ TA __ AN knows AN, s/he knows AN, he knows AN, she knows AN __ French __ RELATIONSHIPS __ I7
pêhow __ V __ AI __ AN waits, s/he waits, he waits, she waits __ French __ MOVE __ I8
akihcikêw __ V __ AI __ AN counts, s/he counts, he counts, she counts __ French __ QUANTITY __ I8
akihtam __ V __ TI __ AN counts IN, s/he counts IN, he counts IN, she counts IN __ French __ QUANTITY __ I8
akimêw __ V __ TA __ AN counts AN, s/he counts AN, he counts AN, she counts AN __ French __ QUANTITY __ I8
âpihtâ-kîsikâw __ V __ II __ it is noon __ French __ TIME __ I8
âpihtâ-tipiskâw __ V __ II __ it is midnight __ French __ TIME __ I8
kîsikâw __ V __ II __ it is day __ French __ TIME __ I8
tipiskâw __ V __ II __ it is night __ French __ TIME __ I8
wâpan __ V __ II __ it is dawn __ French __ TIME __ I8
pêtâpan __ V __ II __ it is dawn __ French __ TIME __ I8
otâkosin __ V __ II __ it is evening __ French __ TIME __ I8
kîkisêpâyâw __ V __ II __ it is morning __ French __ TIME __ I8
ayamihâwi-kîsikâw (ayami'hew'kîsikâw) __ V __ II __ it is Sunday __ French __ DAYS_OF_THE_WEEK __ I9
pôn-âyamihêwi-kîsikâw (pônâyamihew'kîsikâw) __ V __ II __ it is Monday __ French __ DAYS_OF_THE_WEEK __ I9
nîso-kîsikâw __ V __ II __ it is Tuesday __ French __ DAYS_OF_THE_WEEK __ I9
nisto-kîsikâw __ V __ II __ it is Wednesday __ French __ DAYS_OF_THE_WEEK __ I9
nêwo-kîsikâw __ V __ II __ it is Thursday __ French __ DAYS_OF_THE_WEEK __ I9
niyânano-kîsikâw __ V __ II __ it is Friday __ French __ DAYS_OF_THE_WEEK __ I9
nikotwâsiko-kîsikâw __ V __ II __ it is Saturday __ French __ DAYS_OF_THE_WEEK __ I9
itakihtêw __ V __ II __ IN costs, it costs __ French __ FINANCE __ I9
itakisow __ V __ II __ AN costs, s/he costs __ French __ FINANCE __ I9
itahtopiponêw __ V __ AI __ AN is years old, s/he is years old, he is years old, she is years old __ French __ TIME __ I9
isiwêpan __ V __ II __ weather is, weather is like __ French __ WEATHER __ I9
wâsêskwan __ V __ II __ the sky is clear __ French __ WEATHER __ I9
kâcitina __ V __ TI __ AN receives IN, s/he receives IN, he receives IN, she receives IN, s/he gets IN, he gets IN, she gets IN, __ French __ FINANCE __ I9
sôniyâhkêw __ V __ AI __ AN earns money, s/he earns money, he earns money, she earns money, AN makes money, s/he makes money, he makes money, she makes money __ French __ FINANCE __ I9
otahowêw __ V __ AI __ AN wins, s/he wins, he wins, she wins __ French __ CONFLICT __ I9
kocîw __ V __ AI __ AN tries, s/he tries, he tries, she tries __ French __ WORK __ I10
kocîhtâw __ V __ TI __ AN tries IN, s/he tries IN, he tries IN, she tries IN __ French __ WORK __ I10
kocîhêw __ V __ TA __ AN tries AN, s/he tries AN, he tries AN, she tries AN __ French __ WORK __ I10
pêtâw __ V __ TI __ AN brings IN, s/he brings IN, he brings IN, she brings IN __ French __ MOVE __ I10
pêsiwêw __ V __ TA __ AN brings AN, s/he brings AN, he brings AN, she brings AN __ French __ MOVE __ I10
nâtam __ V __ TI __ AN gets IN, s/he gets IN, he gets IN, she gets IN __ French __ FINANCE __ I10
nâtêw (nâs?) __ V __ TA __ AN gets AN, s/he gets AN, he gets AN, she gets AN __ French __ FINANCE __ I10
âkayâsîmow __ V __ AI __ AN speaks English, s/he speaks English, he speaks English, she speaks English __ French __ COMMUNICATION __ I11
ayamihâw __ V __ AI __ AN prays, s/he prays, he prays, she prays __ French __ RELIGION __ I11
pimipahtâw __ V __ AI __ AN runs, s/he runs, he runs, she runs __ French __ MOVE __ I11
têpwêw __ V __ AI __ AN calls, s/he calls, he calls, she calls, AN shouts, s/he shouts, he shouts, she shouts __ French __ COMMUNICATION __ I11
otinêw __ V __ TA __ AN picks up AN, s/he picks up AN, he picks up AN, she picks up AN, s/he takes up AN, he takes up AN, she takes up AN __ French __ MOVE __ I12
otinam __ V __ TI __ AN picks up IN, s/he picks up IN, he picks up IN, she picks up IN, AN takes up IN, s/he takes up IN, he takes up IN, she takes up IN __ French __ MOVE __ I12
itohtahêw __ V __ TA __ AN takes AN to a certain location over distance, s/he takes AN to a certain location over distance, he takes AN to a certain location over distance, she takes AN to a certain location over distance, AN takes AN there, s/he takes AN there, he takes AN there, she takes AN there __ French __ MOVE __ I12
itohtatâw __ V __ TI __ AN takes IN to a certain location over distance, s/he takes IN to a certain location over distance, he takes IN to a certain location over distance, she takes IN to a certain location over distance, AN takes IN there, s/he takes IN there, he takes IN there, she takes IN there __ French __ MOVE __ I12
naskwênêw __ V __ TA __ AN picks up AN over distance, s/he picks up AN over distance, he picks up AN over distance, she picks up AN over distance __ French __ MOVE __ I12
naskwênam (naskwena?) __ V __ TI __ AN picks up IN over distance, s/he picks up IN over distance, he picks up IN over distance, she picks up IN over distance __ French __ MOVE __ I12
tahkonêw __ V __ TA __ AN carries AN, s/he carries AN, he carries AN, she carries AN __ French __ MOVE __ I12
tahkonam __ V __ TI __ AN carries IN, s/he carries IN, he carries IN, she carries IN __ French __ MOVE __ I12
pîkonêw __ V __ TA __ AN breaks AN, s/he breaks AN, he breaks AN, she breaks AN __ French __ PHYSICAL_IMPACT __ I12
pîkonam __ V __ TI __ AN breaks IN, s/he breaks IN, he breaks IN, she breaks IN __ French __ PHYSICAL_IMPACT __ I12
nakasiwêw (nakas?) __ V __ TA __ AN leaves AN, s/he leaves AN, he leaves AN, she leaves AN __ French __ STATE __ I12
nakatam __ V __ TI __ AN leaves IN, s/he leaves IN, he leaves IN, she leaves IN __ French __ STATE __ I12
ahêw __ V __ TA __ AN puts down AN, s/he puts down AN, he puts down AN, she puts down AN, AN sets down AN, s/he sets down AN, he sets down AN, she sets down AN __ French __ MOVE __ I12
astâw __ V __ TI __ AN puts down IN, s/he puts down IN, he puts down IN, she puts down IN, AN sets down IN, s/he sets down IN, he sets down IN, she sets down IN __ French __ MOVE __ I12
