Society:	Общество:
religion	религия
heaven	небеса
hell	ад
death	смерть
medicine	медицина
money	деньги
dollar	доллар
bill	счет
marriage	брак
wedding	свадьба
team	команда
relationship	отношения
race	гонка, раса
sex	пол, секс
gender	пол
murder	убийство
prison	тюрьма
technology	технология
energy	энергия
war	война
peace	мир
attack	нападение, атака
election	выборы
magazine	журнал
newspaper	газета
poison	яд
gun	оружие
sport	спорт
sport race	спортивная гонка
exercise	упражнения
ball	шар, мяч
game	игра
price	цена
contract	контракт, договор 
drug	наркотик, препарат 
sign	знак
science	наука
God	Бог
		
Art:	Искусство:
band	группа, ансамбл
song	песня
musical instrument	музыкальный инструмент
music	музыка
movie	кино, фильм
art	искусство
		
Beverages:	Напитки:
coffee	кофе
tea	чай
wine	вино
beer	пиво
juice	сок
water	вода
milk	молоко
beverage	напиток 
		
Food:	Еда:
egg	яйцо
cheese	сыр
bread	хлеб
soup	суп
cake	пироженое, торт
chicken	цыпленок, курица
pork	свинина
beef	говядина
apple	яблоко
banana	банан
orange	апельсин
lemon	лимон, ситрон
corn	зерно,	кукуруза
rice	рис
oil масло, нефть
seed	семя
knife	нож
spoon	ложка
fork	вилка
plate	тарелка
cup	чашка
breakfast	завтрак
lunch	обед
dinner	ужин
sugar	сахар
salt	соль
bottle	бутылка
food	еда 
		
Home:	Дом:
table	стол
chair	стул
bed	кровать, постель
dream	мечта
window	окно
door	дверь
bedroom	спальня
kitchen	кухня
bathroom	ванная
pencil	карандаш
pen	ручка
photograph	фотография
soap	мыло
book	книга
page	страница
key	ключ
paint	краска
letter	письмо
note	заметка, отметить, обратите внимание 
wall	стена
paper	бумага
floor	пол, этаж
ceiling	потолок
roof	крыша
pool	бассейн
lock	замок
telephone	телефон
garden	сад
yard	двор
needle	игла
bag	сумка
box	коробка
gift	подарок
card	карта
ring	кольцо
tool	инструмент
		
Electronics:	Электроника:
clock	часы
lamp	лампа
fan	вентилятор
cellular phone	сотовый телефон, мобильный телефон, мобильник
phone	телефон
network	сеть
computer	компьютер
program		программа
laptop	ноутбук, портативный компьютер, лаптоп
screen	экран
camera	фотоаппарат, фотокамера
video camera	видеокамера
television	телевидение
radio	радио
		
Body:	Тело:
head	голова
neck	шея
face	лицо
beard	борода
hair	волосы
eye	глаз
mouth	рот
lip	губа
nose	нос
tooth	зуб
ear	ухо
tear	слеза
tongue	язык
back	спина
toe	палец, палец на ноге
finger	палец
foot	нога
hand	рука
leg	нога
arm	рука
shoulder	плечо
heart	сердце
blood	кровь
brain	мозг
knee	колено
sweat	пот
disease	болезнь
bone	кость
voice	голос
skin	кожа
body	тело
		
Nature:	Природа:
sea	море
ocean	океан
river	река
mountain	гора
rain	дождь
snow	снег
tree	дерево
sun	солнце
moon	луна
world	мир
Earth	Земля
forest	лес
sky	небо
plant	растение 
wind	ветер
soil, earth	почва, земля
flower	цветок
valley	долина
root	корень
lake	озеро
star	звезда
grass	трава
leaf	лист
air	воздух
sand	песок
beach	пляж
wave	волна
fire	огонь
ice	лед
island	остров
hill	холм
heat	высокая температура
nature	природа 
		
Materials:	Материалы:
glass	стекло
metal	металл
plastic	пластмасса
wood	древесина 
stone	камень
diamond	алмаз
clay	глина
dust	пыль
gold	золото
copper	медь
silver	серебро
material	материал 
		
Math/Measurements:	Математика / Размеры: 
meter	метр
centimeter	сантиметр
kilogram	килограмм
inch	дюйм
foot	фут, нога	 
pound	фунт
half	половина
circle	круг
square	квадрат
temperature	температура
date	дата
weight	вес
edge	ребро, край
corner	угол
misc	pазное 
		
Nouns:	Существительные:
map	карта
dot	точка
consonant	согласный
vowel	гласный
light	свет
sound	звук
yes	да
no	нет
piece	часть, кусок 
pain	боль
injury	травма, рана 
hole	дыра, дырка, отверстие, яма
image	изображение, образ, имидж
pattern	образец, рисунок
noun	существительное 
verb	глагол 
adjective	прилагательное
		
Directions:	Направления:
top	наверх
bottom	снизу, основание 
side	сторона
front	передний, перед, фронт 
back	назад 
outside	вне, снаружи 
inside	внутри 
up  вверх, наверху, вверху, наверх, до 
down	вниз 
left	левый, налево 
right	правый, направо 
straight	прямо, прямой 
north	север
south	юг
east	восток
west	запад
direction	направление 
		
Seasons:	Времена года: 
Summer	лето
Spring	весна
Winter	зима
Fall	осень
season	сезон 
		
Months:	Месяцы:
January	Январь
February	Февраль
March	Март
April	Апрель
May	Май
June	Июнь
July	Июль
August	Август
September	Сентябрь
October	Октябрь
November	Ноябрь
December	Декабрь
		
Days of the week:	Дни недели:
Monday	понедельник 
Tuesday	вторник
Wednesday	среда
Thursday	четверг
Friday	пятница
Saturday	суббота
Sunday	воскресенье
		
Time:	Время:
year	год
month	месяц
week	неделя
day	день
hour	час
minute	минута
second	второй
morning	утро
afternoon	день, после обеда
evening	вечер
night	ночь 
time	время 
		
Verbs:	Глаголы:
to work	работать
to play	играть
to walk	идти, ходить
to run	бежать 
to drive	ездить 
to fly	лететь, летать 
to swim	плавать
to go	пойти 
to stop	остановиться, остановить 
to follow	следовать
to think	думать
to speak	говорить
to say	сказать
to eat	поесть, съесть 
to drink	пить
to kill	убить
to die	умереть
to smile	улыбнуться, улыбаться
to laugh	смеяться
to cry	кричать, плакать 
to buy	купить
to pay	заплатить
to sell	продать
to shoot	стрелять
to learn	учиться
to jump	подскочить, прыгать 
to smell	пахнуть
to hear	слышать, услышать  
to listen	слушать
to taste	отведать, пробовать, дегустировать, вкушать, являться на вкус, по вкусу 
to touch	затрагивать 
to see	видеть
to watch	смотреть
to kiss	поцеловаться, поцеловать 
to burn	гореть, сжечь 
to melt	таять
to dig	копать 
to explode	взорваться
to sit	сидеть
to stand	стоять
to love	любить
to pass by	проходить мимо, пройти мимо 
to cut  отрезать, резать, сокращаться, сократить 
to fight	бороться
to lie down	ложиться, лечь 
to dance	танцевать
to sleep	спать
to wake up	просыпаться, проснуться 
to sing	петь
to count    рассчитывать, считать 
to marry	жениться, зайти замужем
to pray	молиться
to win	победить, выиграть 
to lose	проиграть, потерять 
to mix, stir	смешать, размешать
to bend	согнуться, согнуть 
to wash	вымыться, мыть 
to cook	приготовить, готовить 
to open	открыться, открыть 
to close	закрыться, закрыть 
to write	написать 
to call	звонить, позвонить 
to turn	поворачиваться, превратить 
to build	построить 
to teach	преподавать, учить 
to grow	вырасти, расти 
to draw рисовать 
to feed	питаться, кормить 
to catch	поймать
to throw	бросить
to clean	убрать
to find	найти
to fall	упасть, падать 
to push толкать, продвигать
to pull тянуть, потянуть 
to carry	нести, носить 
to break	сломаться, сломать 
to wear носить, одевать 
to hang висеть, повесить 
to shake    трясти, дрожать 
to sign	подписать, подписаться  
to beat	бить, биться	 
to lift поднять, подняться 
		
		
Adjectives:	Прилагательные:
long	длинный, долгий
short	короткий
tall	высокий
short	короткий
low	низкий
wide	широкий
narrow	узкий
big, large	большой
small, little	маленький
slow	медленный
fast	быстрый
hot	горячий
cold	холодный
warm	теплый
cool	прохладный
new	новый
old (not new)	старый (не новый)
young	молодой
old (not young)	старый (не молодой)
good	хороший
bad	плохой
wet	влажный, мокрый 
dry	сухой
sick	больной, болен 
healthy	здоровый
loud	громкий
quiet	тихий
happy	счастливый, счастлив 
sad	печальный, грустный
beautiful	красивый
ugly	уродливый, некрасивый
deaf	глухой
blind	слепой
nice	хороший
mean	скупой
rich	богатый
poor	бедный
thick	толстый
thin	тонкий
expensive	дорогой
cheap	дешевый
flat	плоский
curved  кривой, изогнутый 
male	мужский
female	женский
tight   плотный, тугой, трудный, тесный, узкий 
loose	свободный
high	высокий
low	низкий
soft	мягкий
hard    трудный, трудно 
deep	глубокий
shallow	мелкий
clean	чистый
dirty	грязный
strong	сильный
weak	слабый
dead	мертвый
alive	живой, жив 
heavy	тяжелый
light (not heavy)	легкий (не тяжелый)
dark	темный
light (not dark)	светлый (не темный)
nuclear	ядерный
famous	известный
		
