Abbreviation,Spellout,English gloss,English translation
Sg.Acc,Entall Akkusativ,,Singular Accusative
Sg.Loc,Entall Lokativ,,Singular Locative
Sg.Ill,Entall Illativ,,Singular Illative
Sg.Com,Entall Komitativ,,Singular Comitative
Sg.Gen,Entall Genitiv,,Singular Genitive
Sg.Nom,Entall Nominativ,,Singular Nominative
Pl.Loc,Flertall Lokativ,,Plural Locative
Pl.Com,Flertall Komitativ,,Plural Comitative
Pl.Acc,Flertall Akkusativ,,Plural Accusative
Ind.Prs.Sg1,FÃ¸rste Person Entall Presens Indikativ,,First Person Singular Present Tense Indicative
Ind.Prs.Sg2,Andre Person Entall Presens Indikativ,,Second Person Singular Present Tense Indicative
Ind.Prs.Sg3,Tredje Person Entall Presens Indikativ,,Third Person Singular Present Tense Indicative
Ind.Prs.Pl3,Tredje Person Flertall Presens Indikativ,,Third Person Plural Present Tense Indicative
Cond.Prs.Sg3,Tredje Person Entall Presens Kondisjonalis,,Third Person Singular Present Tense Conditional
Actio.Ess,Aktio Essiv,,Actio Essive
Imprt.Sg2,Andre Person Entall Imperativ,,Second Person Singular Imperative
Inf,Infinitiv,,Infinitive
Superl.Attr,Superlativ Attributiv,,Superlative Attributive
Attr,Attributiv,,Attributive
Ind.Prt.Sg3,Tredje Person Entall Preteritum Indikativ,,Third Person Singular Past Tense Indicative
