mun+Pron+Pers+Sg1+Nom	mun

mun+Pron+Pers+Sg1+Gen	mu

mun+Pron+Pers+Sg1+Acc	mu

mun+Pron+Pers+Sg1+Ill	munnje

mun+Pron+Pers+Sg1+Loc	mus

mun+Pron+Pers+Sg1+Com	muinna

mun+Pron+Pers+Sg1+Ess	munin

don+Pron+Pers+Sg2+Nom	don

don+Pron+Pers+Sg2+Gen	du

don+Pron+Pers+Sg2+Acc	du

don+Pron+Pers+Sg2+Ill	dutnje

don+Pron+Pers+Sg2+Loc	dus

don+Pron+Pers+Sg2+Com	duinna

don+Pron+Pers+Sg2+Ess	dunin

son+Pron+Pers+Sg3+Nom	son

son+Pron+Pers+Sg3+Gen	su

son+Pron+Pers+Sg3+Acc	su

son+Pron+Pers+Sg3+Ill	sutnje

son+Pron+Pers+Sg3+Loc	sus

son+Pron+Pers+Sg3+Com	suinna

son+Pron+Pers+Sg3+Ess	sunin

moai+Pron+Pers+Du1+Nom	moai

moai+Pron+Pers+Du1+Gen	munno

moai+Pron+Pers+Du1+Acc	munno

moai+Pron+Pers+Du1+Ill	munnuide

moai+Pron+Pers+Du1+Loc	munnos

moai+Pron+Pers+Du1+Com	munnuin

moai+Pron+Pers+Du1+Ess	munnon

doai+Pron+Pers+Du2+Nom	doai

doai+Pron+Pers+Du2+Gen	dudno

doai+Pron+Pers+Du2+Acc	dudno

doai+Pron+Pers+Du2+Ill	dudnuide

doai+Pron+Pers+Du2+Loc	dudnos

doai+Pron+Pers+Du2+Com	dudnuin

doai+Pron+Pers+Du2+Ess	dudnon

soai+Pron+Pers+Du3+Nom	soai

soai+Pron+Pers+Du3+Gen	sudno

soai+Pron+Pers+Du3+Acc	sudno

soai+Pron+Pers+Du3+Ill	sudnuide

soai+Pron+Pers+Du3+Loc	sudnos

soai+Pron+Pers+Du3+Com	sudnuin

soai+Pron+Pers+Du3+Ess	sudnon

mii+Pron+Pers+Pl1+Nom	mii

mii+Pron+Pers+Pl1+Gen	min

mii+Pron+Pers+Pl1+Acc	min

mii+Pron+Pers+Pl1+Ill	midjiide

mii+Pron+Pers+Pl1+Loc	mis

mii+Pron+Pers+Pl1+Com	minguin

mii+Pron+Pers+Pl1+Ess	minin

dii+Pron+Pers+Pl2+Nom	dii

dii+Pron+Pers+Pl2+Gen	din

dii+Pron+Pers+Pl2+Acc	din

dii+Pron+Pers+Pl2+Ill	didjiide

dii+Pron+Pers+Pl2+Loc	dis

dii+Pron+Pers+Pl2+Com	dinguin

dii+Pron+Pers+Pl2+Ess	dinin

sii+Pron+Pers+Pl3+Nom	sii

sii+Pron+Pers+Pl3+Gen	sin

sii+Pron+Pers+Pl3+Acc	sin

sii+Pron+Pers+Pl3+Ill	sidjiide

sii+Pron+Pers+Pl3+Loc	sis

sii+Pron+Pers+Pl3+Com	singuin

sii+Pron+Pers+Pl3+Ess	sinin

ieš+Pron+Refl+Sg+Nom	ieš

ieš+Pron+Refl+Pl+Nom	ieža

iežan+Pron+Refl+Gen+PxSg1	iežan

iežan+Pron+Refl+Acc+PxSg1	iežan

iežan+Pron+Refl+Ill+PxSg1	alccesan

iežan+Pron+Refl+Loc+PxSg1	alddán

iežan+Pron+Refl+Com+PxSg1	iežainan

iežan+Pron+Refl+Ess+PxSg1	iehčanan

iežat+Pron+Refl+Gen+PxSg2	iežat

iežat+Pron+Refl+Acc+PxSg2	iežat

iežat+Pron+Refl+Ill+PxSg2	alccesat

iežat+Pron+Refl+Loc+PxSg2	alddát

iežat+Pron+Refl+Com+PxSg2	iežainat

iežat+Pron+Refl+Ess+PxSg2	iehčanat

iežas+Pron+Refl+Gen+PxSg3	iežas

iežas+Pron+Refl+Acc+PxSg3	iežas

iežas+Pron+Refl+Ill+PxSg3	alccesis

iežas+Pron+Refl+Loc+PxSg3	alddis

iežas+Pron+Refl+Com+PxSg3	iežainis

iežas+Pron+Refl+Ess+PxSg3	iehčanis

iežame+Pron+Refl+Gen+PxDu1	iežame

iežame+Pron+Refl+Acc+PxDu1	iežame

iežame+Pron+Refl+Ill+PxDu1	alcceseame

iežame+Pron+Refl+Loc+PxDu1	alddáme

iežame+Pron+Refl+Com+PxDu1	iežaineame

iežame+Pron+Refl+Ess+PxDu1	iehčaneame

iežade+Pron+Refl+Gen+PxDu2	iežade

iežade+Pron+Refl+Acc+PxDu2	iežade

iežade+Pron+Refl+Ill+PxDu2	alcceseatte

iežade+Pron+Refl+Loc+PxDu2	alddáde

iežade+Pron+Refl+Com+PxDu2	iežaineatte

iežade+Pron+Refl+Ess+PxDu2	iehčaneatte

iežaska+Pron+Refl+Gen+PxDu3	iežaska

iežaska+Pron+Refl+Acc+PxDu3	iežaska

iežaska+Pron+Refl+Ill+PxDu3	alcceseaskka

iežaska+Pron+Refl+Loc+PxDu3	alddiska

iežaska+Pron+Refl+Com+PxDu3	iežaineaskka

iežaska+Pron+Refl+Ess+PxDu3	iehčaneaskka

iežamet+Pron+Refl+Gen+PxPl1	iežamet

iežamet+Pron+Refl+Acc+PxPl1	iežamet

iežamet+Pron+Refl+Ill+PxPl1	alcceseamet

iežamet+Pron+Refl+Loc+PxPl1	alddámet

iežamet+Pron+Refl+Com+PxPl1	iežaineamet

iežamet+Pron+Refl+Ess+PxPl1	iehčaneamet

iežadet+Pron+Refl+Gen+PxPl2	iežadet

iežadet+Pron+Refl+Acc+PxPl2	iežadet

iežadet+Pron+Refl+Ill+PxPl2	alcceseattet

iežadet+Pron+Refl+Loc+PxPl2	alddádet

iežadet+Pron+Refl+Com+PxPl2	iežaineattet

iežadet+Pron+Refl+Ess+PxPl2	iehčaneattet

iežaset+Pron+Refl+Gen+PxPl3	iežaset

iežaset+Pron+Refl+Acc+PxPl3	iežaset

iežaset+Pron+Refl+Ill+PxPl3	alcceseaset

iežaset+Pron+Refl+Loc+PxPl3	alddiset

iežaset+Pron+Refl+Com+PxPl3	iežaineaset

iežaset+Pron+Refl+Ess+PxPl3	iehčaneaset

dát+Pron+Dem+Sg+Nom	dát

dát+Pron+Dem+Sg+Acc	dán

dát+Pron+Dem+Sg+Gen	dán

dát+Pron+Dem+Sg+Ill	dása

dát+Pron+Dem+Sg+Loc	dás

dát+Pron+Dem+Sg+Com	dáinna

dát+Pron+Dem+Pl+Nom	dát

dát+Pron+Dem+Pl+Acc	dáid

dát+Pron+Dem+Pl+Gen	dáid

dát+Pron+Dem+Pl+Ill	dáidda

dát+Pron+Dem+Pl+Loc	dáin

dát+Pron+Dem+Pl+Com	dáiguin

dát+Pron+Dem+Ess	dánin

diet+Pron+Dem+Sg+Nom	diet

diet+Pron+Dem+Sg+Acc	dien

diet+Pron+Dem+Sg+Gen	dien

diet+Pron+Dem+Sg+Ill	diesa

diet+Pron+Dem+Sg+Loc	dies

diet+Pron+Dem+Sg+Com	dieinna

diet+Pron+Dem+Pl+Nom	diet

diet+Pron+Dem+Pl+Acc	dieid

diet+Pron+Dem+Pl+Gen	dieid

diet+Pron+Dem+Pl+Ill	dieidda

diet+Pron+Dem+Pl+Loc	diein

diet+Pron+Dem+Pl+Com	dieiguin

diet+Pron+Dem+Ess	dienin

duot+Pron+Dem+Sg+Nom	duot

duot+Pron+Dem+Sg+Acc	duon

duot+Pron+Dem+Sg+Gen	duon

duot+Pron+Dem+Sg+Ill	duosa

duot+Pron+Dem+Sg+Loc	duos

duot+Pron+Dem+Sg+Com	duoinna

duot+Pron+Dem+Pl+Nom	duot

duot+Pron+Dem+Pl+Acc	duoid

duot+Pron+Dem+Pl+Gen	duoid

duot+Pron+Dem+Pl+Ill	duoidda

duot+Pron+Dem+Pl+Loc	duoin

duot+Pron+Dem+Pl+Com	duoiguin

duot+Pron+Dem+Ess	duonin

dot+Pron+Dem+Sg+Nom	dot

dot+Pron+Dem+Sg+Acc	don

dot+Pron+Dem+Sg+Gen	don

dot+Pron+Dem+Sg+Ill	dosa

dot+Pron+Dem+Sg+Loc	dos

dot+Pron+Dem+Sg+Com	doinna

dot+Pron+Dem+Pl+Nom	dot

dot+Pron+Dem+Pl+Acc	doid

dot+Pron+Dem+Pl+Gen	doid

dot+Pron+Dem+Pl+Ill	doidda

dot+Pron+Dem+Pl+Loc	doin

dot+Pron+Dem+Pl+Com	doiguin

dot+Pron+Dem+Ess	donin

guoibmáme+Pron+Recipr+Sg+Gen+PxDu1	guoibmáme

guoimmáde+Pron+Recipr+Sg+Gen+PxDu2	guoimmáde

guoimmiska+Pron+Recipr+Sg+Gen+PxDu3	guoimmiska

guoibmámet+Pron+Recipr+Sg+Gen+PxPl1	guoibmámet

guoimmádet+Pron+Recipr+Sg+Gen+PxPl2	guoimmádet

guoimmiset+Pron+Recipr+Sg+Gen+PxPl3	guoimmiset

guoibmáme+Pron+Recipr+Sg+Acc+PxDu1	guoibmáme

guoimmáde+Pron+Recipr+Sg+Acc+PxDu2	guoimmáde

guoimmiska+Pron+Recipr+Sg+Acc+PxDu3	guoimmiska

guoibmámet+Pron+Recipr+Sg+Acc+PxPl1	guoibmámet

guoimmádet+Pron+Recipr+Sg+Acc+PxPl2	guoimmádet

guoimmiset+Pron+Recipr+Sg+Acc+PxPl3	guoimmiset

guoibmáme+Pron+Recipr+Sg+Ill+PxDu1	guoibmáseame

guoimmáde+Pron+Recipr+Sg+Ill+PxDu2	guoibmáseatte

guoimmiska+Pron+Recipr+Sg+Ill+PxDu3	guoibmáseaskka

guoibmámet+Pron+Recipr+Sg+Ill+PxPl1	guoibmáseamet

guoimmádet+Pron+Recipr+Sg+Ill+PxPl2	guoibmáseattet

guoimmiset+Pron+Recipr+Sg+Ill+PxPl3	guoibmáseaset

guoibmáme+Pron+Recipr+Sg+Loc+PxDu1	guoimmisteame

guoimmáde+Pron+Recipr+Sg+Loc+PxDu2	guoimmisteatte

guoimmiska+Pron+Recipr+Sg+Loc+PxDu3	guoimmisteaskka

guoibmámet+Pron+Recipr+Sg+Loc+PxPl1	guoimmisteamet

guoimmádet+Pron+Recipr+Sg+Loc+PxPl2	guoimmisteattet

guoimmiset+Pron+Recipr+Sg+Loc+PxPl3	guoimmisteaset

guoibmáme+Pron+Recipr+Sg+Com+PxDu1	guimmiineame

guoimmáde+Pron+Recipr+Sg+Com+PxDu2	guimmiineatte

guoimmiska+Pron+Recipr+Sg+Com+PxDu3	guimmiineaskka

guoibmámet+Pron+Recipr+Sg+Com+PxPl1	guimmiineamet

guoimmádet+Pron+Recipr+Sg+Com+PxPl2	guimmiineattet

guoimmiset+Pron+Recipr+Sg+Com+PxPl3	guimmiineaset

guoibmáme+Pron+Recipr+Pl+Gen+PxDu1	guimmiideame

guoimmáde+Pron+Recipr+Pl+Gen+PxDu2	guimmiideatte

guoimmiska+Pron+Recipr+Pl+Gen+PxDu3	guimmiideaskka

guoibmámet+Pron+Recipr+Pl+Gen+PxPl1	guimmiideamet

guoimmádet+Pron+Recipr+Pl+Gen+PxPl2	guimmiideattet

guoimmiset+Pron+Recipr+Pl+Gen+PxPl3	guimmiideaset

guoibmáme+Pron+Recipr+Pl+Acc+PxDu1	guimmiideame

guoimmáde+Pron+Recipr+Pl+Acc+PxDu2	guimmiideatte

guoimmiska+Pron+Recipr+Pl+Acc+PxDu3	guimmiideaskka

guoibmámet+Pron+Recipr+Pl+Acc+PxPl1	guimmiideamet

guoimmádet+Pron+Recipr+Pl+Acc+PxPl2	guimmiideattet

guoimmiset+Pron+Recipr+Pl+Acc+PxPl3	guimmiideaset

guoibmáme+Pron+Recipr+Pl+Ill+PxDu1	guimmiidasame

guoimmáde+Pron+Recipr+Pl+Ill+PxDu2	guimmiidasade

guoimmiska+Pron+Recipr+Pl+Ill+PxDu3	guimmiidasaska

guoibmámet+Pron+Recipr+Pl+Ill+PxPl1	guimmiidasamet

guoimmádet+Pron+Recipr+Pl+Ill+PxPl2	guimmiidasadet

guoimmiset+Pron+Recipr+Pl+Ill+PxPl3	guimmiidasaset

guoibmáme+Pron+Recipr+Pl+Loc+PxDu1	guimmiineame

guoimmáde+Pron+Recipr+Pl+Loc+PxDu2	guimmiineatte

guoimmiska+Pron+Recipr+Pl+Loc+PxDu3	guimmiineaskka

guoibmámet+Pron+Recipr+Pl+Loc+PxPl1	guimmiineamet

guoimmádet+Pron+Recipr+Pl+Loc+PxPl2	guimmiineattet

guoimmiset+Pron+Recipr+Pl+Loc+PxPl3	guimmiineaset

guoibmáme+Pron+Recipr+Pl+Com+PxDu1	guimmiideameguin

guoimmáde+Pron+Recipr+Pl+Com+PxDu2	guimmiideadeguin

guoimmiska+Pron+Recipr+Pl+Com+PxDu3	guimmiideaskkaguin

guoibmámet+Pron+Recipr+Pl+Com+PxPl1	guimmiideametguin

guoimmádet+Pron+Recipr+Pl+Com+PxPl2	guimmiideadetguin

guoimmiset+Pron+Recipr+Pl+Com+PxPl3	guimmiideasetguin

mun+Pron+Pers+Sg1+Nom+Use/NG	mon
iežan+Pron+Refl+Gen+PxSg1+Use/NG	iehčan
iežan+Pron+Refl+Acc+PxSg1+Use/NG	iehčan
iežan+Pron+Refl+Gen+PxSg1+Use/NG	iehčan
iežan+Pron+Refl+Acc+PxSg1+Use/NG	iehčan
iežan+Pron+Refl+Ill+PxSg1+Use/NG	allasan
iežan+Pron+Refl+Ill+PxSg1+Use/NG	alccan
iežan+Pron+Refl+Ill+PxSg1+Use/NG	alccen
iežan+Pron+Refl+Ill+PxSg1+Use/NG	allasan
iežan+Pron+Refl+Ill+PxSg1+Use/NG	alccan
iežan+Pron+Refl+Ill+PxSg1+Use/NG	alccen
iežan+Pron+Refl+Ill+PxSg1+Use/NG	allasan
iežan+Pron+Refl+Ill+PxSg1+Use/NG	alccan
iežan+Pron+Refl+Ill+PxSg1+Use/NG	alccen
iežan+Pron+Refl+Loc+PxSg1+Use/NG	alddestan
iežat+Pron+Refl+Ill+PxSg2+Use/NG	allasat
iežat+Pron+Refl+Ill+PxSg2+Use/NG	alccat
iežat+Pron+Refl+Ill+PxSg2+Use/NG	alccet
iežat+Pron+Refl+Ill+PxSg2+Use/NG	allasat
iežat+Pron+Refl+Ill+PxSg2+Use/NG	alccat
iežat+Pron+Refl+Ill+PxSg2+Use/NG	alccet
iežat+Pron+Refl+Ill+PxSg2+Use/NG	allasat
iežat+Pron+Refl+Ill+PxSg2+Use/NG	alccat
iežat+Pron+Refl+Ill+PxSg2+Use/NG	alccet
iežat+Pron+Refl+Loc+PxSg2+Use/NG	alddestat
iežas+Pron+Refl+Ill+PxSg3+Use/NG	allasis
iežas+Pron+Refl+Ill+PxSg3+Use/NG	alccis
iežas+Pron+Refl+Ill+PxSg3+Use/NG	alcces
iežas+Pron+Refl+Ill+PxSg3+Use/NG	allasis
iežas+Pron+Refl+Ill+PxSg3+Use/NG	alccis
iežas+Pron+Refl+Ill+PxSg3+Use/NG	alcces
iežas+Pron+Refl+Ill+PxSg3+Use/NG	allasis
iežas+Pron+Refl+Ill+PxSg3+Use/NG	alccis
iežas+Pron+Refl+Ill+PxSg3+Use/NG	alcces
iežas+Pron+Refl+Loc+PxSg3+Use/NG	alddes
iežas+Pron+Refl+Loc+PxSg3+Use/NG	alddestis
iežas+Pron+Refl+Loc+PxSg3+Use/NG	alddes
iežas+Pron+Refl+Loc+PxSg3+Use/NG	alddestis
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Gen+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iehčame
iežame+Pron+Refl+Acc+PxDu1+Use/NG	iežaideame
iežame+Pron+Refl+Ill+PxDu1+Use/NG	allaseame
iežame+Pron+Refl+Ill+PxDu1+Use/NG	alccame
iežame+Pron+Refl+Ill+PxDu1+Use/NG	alcceme
iežame+Pron+Refl+Ill+PxDu1+Use/NG	allaseame
iežame+Pron+Refl+Ill+PxDu1+Use/NG	alccame
iežame+Pron+Refl+Ill+PxDu1+Use/NG	alcceme
iežame+Pron+Refl+Ill+PxDu1+Use/NG	allaseame
iežame+Pron+Refl+Ill+PxDu1+Use/NG	alccame
iežame+Pron+Refl+Ill+PxDu1+Use/NG	alcceme
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddesteame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddáneame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddiineame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddesteame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddáneame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddiineame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddesteame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddáneame
iežame+Pron+Refl+Loc+PxDu1+Use/NG	alddiineame
iežade+Pron+Refl+Gen+PxDu2+Use/NG	iežaideatte
iežade+Pron+Refl+Acc+PxDu2+Use/NG	iežaideatte
iežade+Pron+Refl+Gen+PxDu2+Use/NG	iežaideatte
iežade+Pron+Refl+Acc+PxDu2+Use/NG	iežaideatte
iežade+Pron+Refl+Ill+PxDu2+Use/NG	allaseatte
iežade+Pron+Refl+Ill+PxDu2+Use/NG	alccade
iežade+Pron+Refl+Ill+PxDu2+Use/NG	alccede
iežade+Pron+Refl+Ill+PxDu2+Use/NG	allaseatte
iežade+Pron+Refl+Ill+PxDu2+Use/NG	alccade
iežade+Pron+Refl+Ill+PxDu2+Use/NG	alccede
iežade+Pron+Refl+Ill+PxDu2+Use/NG	allaseatte
iežade+Pron+Refl+Ill+PxDu2+Use/NG	alccade
iežade+Pron+Refl+Ill+PxDu2+Use/NG	alccede
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddesteatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddáneatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddiineatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddesteatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddáneatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddiineatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddesteatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddáneatte
iežade+Pron+Refl+Loc+PxDu2+Use/NG	alddiineatte
iežaska+Pron+Refl+Gen+PxDu3+Use/NG	iežaideaskka
iežaska+Pron+Refl+Acc+PxDu3+Use/NG	iežaideaskka
iežaska+Pron+Refl+Gen+PxDu3+Use/NG	iežaideaskka
iežaska+Pron+Refl+Acc+PxDu3+Use/NG	iežaideaskka
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	allaseaskka
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	alcciska
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	alcceska
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	allaseaskka
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	alcciska
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	alcceska
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	allaseaskka
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	alcciska
iežaska+Pron+Refl+Ill+PxDu3+Use/NG	alcceska
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
iežaska+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
iežamet+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	allaseamet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	alccamet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	alccemet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	allaseamet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	alccamet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	alccemet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	allaseamet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	alccamet
iežamet+Pron+Refl+Ill+PxPl1+Use/NG	alccemet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddesteamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddáneamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddiineamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddesteamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddáneamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddiineamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddesteamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddáneamet
iežamet+Pron+Refl+Loc+PxPl1+Use/NG	alddiineamet
iežadet+Pron+Refl+Gen+PxPl2+Use/NG	iežaideattet
iežadet+Pron+Refl+Acc+PxPl2+Use/NG	iežaideattet
iežadet+Pron+Refl+Gen+PxPl2+Use/NG	iežaideattet
iežadet+Pron+Refl+Acc+PxPl2+Use/NG	iežaideattet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	allaseattet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	alccadet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	alccedet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	allaseattet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	alccadet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	alccedet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	allaseattet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	alccadet
iežadet+Pron+Refl+Ill+PxPl2+Use/NG	alccedet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddesteattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddáneattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddiineattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddesteattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddáneattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddiineattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddesteattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddáneattet
iežadet+Pron+Refl+Loc+PxPl2+Use/NG	alddiineattet
iežaset+Pron+Refl+Gen+PxPl3+Use/NG	iežaideaset
iežaset+Pron+Refl+Acc+PxPl3+Use/NG	iežaideaset
iežaset+Pron+Refl+Gen+PxPl3+Use/NG	iežaideaset
iežaset+Pron+Refl+Acc+PxPl3+Use/NG	iežaideaset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	allaseaset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	alcciset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	alcceset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	allaseaset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	alcciset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	alcceset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	allaseaset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	alcciset
iežaset+Pron+Refl+Ill+PxPl3+Use/NG	alcceset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
iežaset+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset


